2026-02-22T01:20:58: [Grudge Voxel Server] Starting on port 3000...
2026-02-22T01:20:58: [Grudge Voxel Server] World seed: 42069
2026-02-22T01:20:58: [Grudge Voxel Server] Tick rate: 20 tps
2026-02-22T01:20:58: [Grudge Voxel Server] Ready! Listening on ws://localhost:3000
2026-02-22T02:21:16: [Server] Tick 24800 | Players: 1 | Chunks: 441
2026-02-22T02:21:28: [Server] Tick 25000 | Players: 1 | Chunks: 441
2026-02-22T02:21:39: [Server] Tick 25200 | Players: 1 | Chunks: 441
2026-02-22T02:21:51: [Server] Tick 25400 | Players: 1 | Chunks: 441
2026-02-22T02:22:03: [Server] Tick 25600 | Players: 1 | Chunks: 441
2026-02-22T02:22:15: [Server] Tick 25800 | Players: 1 | Chunks: 441
2026-02-22T02:22:27: [Server] Tick 26000 | Players: 1 | Chunks: 441
2026-02-22T02:22:39: [Server] Tick 26200 | Players: 1 | Chunks: 441
2026-02-22T02:22:51: [Server] Tick 26400 | Players: 1 | Chunks: 441
2026-02-22T02:23:04: [Server] Tick 26600 | Players: 1 | Chunks: 441
2026-02-22T02:23:16: [Server] Tick 26800 | Players: 1 | Chunks: 441
2026-02-22T02:23:28: [Server] Tick 27000 | Players: 1 | Chunks: 441
2026-02-22T02:23:41: [Server] Tick 27200 | Players: 1 | Chunks: 441
2026-02-22T02:23:53: [Server] Tick 27400 | Players: 1 | Chunks: 441
2026-02-22T02:24:05: [Server] Tick 27600 | Players: 1 | Chunks: 441
2026-02-22T02:24:18: [Server] Tick 27800 | Players: 1 | Chunks: 441
2026-02-22T02:24:30: [Server] Tick 28000 | Players: 1 | Chunks: 441
2026-02-22T02:24:43: [Server] Tick 28200 | Players: 1 | Chunks: 441
2026-02-22T02:24:55: [Server] Tick 28400 | Players: 1 | Chunks: 441
2026-02-22T02:25:07: [Server] Tick 28600 | Players: 1 | Chunks: 441
2026-02-22T02:25:20: [Server] Tick 28800 | Players: 1 | Chunks: 441
2026-02-22T02:25:32: [Server] Tick 29000 | Players: 1 | Chunks: 441
